,Unnamed: 0,choices_revealed,losses,simulation_no,stays,switches,wins
0,0,1,4959,0,5019,4981,5041
1,1,2,4916,0,5071,4929,5084
2,2,3,4912,0,5017,4983,5088
3,3,4,4879,0,4991,5009,5121
4,4,5,4841,0,5058,4942,5159
5,5,6,4925,0,4915,5085,5075
6,6,7,4843,0,4996,5004,5157
7,7,8,4802,0,5045,4955,5198
8,8,9,4787,0,4878,5122,5213
9,9,10,4714,0,4953,5047,5286
10,10,11,4627,0,4991,5009,5373
11,11,12,4632,0,4988,5012,5368
12,12,13,4532,0,5094,4906,5468
13,13,14,4697,0,5005,4995,5303
14,14,15,4601,0,5014,4986,5399
15,15,16,4554,0,5058,4942,5446
16,16,17,4400,0,4980,5020,5600
17,17,18,4421,0,5022,4978,5579
18,18,19,4329,0,4980,5020,5671
19,19,20,4287,0,5070,4930,5713
0,0,1,4973,1,5000,5000,5027
1,1,2,4979,1,4957,5043,5021
2,2,3,4842,1,5024,4976,5158
3,3,4,4904,1,5005,4995,5096
4,4,5,4925,1,5002,4998,5075
5,5,6,4866,1,4948,5052,5134
6,6,7,4718,1,4950,5050,5282
7,7,8,4816,1,4986,5014,5184
8,8,9,4715,1,4884,5116,5285
9,9,10,4721,1,5009,4991,5279
10,10,11,4657,1,4942,5058,5343
11,11,12,4658,1,4959,5041,5342
12,12,13,4666,1,4984,5016,5334
13,13,14,4606,1,4925,5075,5394
14,14,15,4519,1,5068,4932,5481
15,15,16,4507,1,5020,4980,5493
16,16,17,4527,1,4976,5024,5473
17,17,18,4484,1,4973,5027,5516
18,18,19,4397,1,4947,5053,5603
19,19,20,4427,1,4993,5007,5573
0,0,1,4924,2,5038,4962,5076
1,1,2,4963,2,4933,5067,5037
2,2,3,4930,2,4897,5103,5070
3,3,4,4978,2,5065,4935,5022
4,4,5,4847,2,5003,4997,5153
5,5,6,4805,2,4966,5034,5195
6,6,7,4791,2,4940,5060,5209
7,7,8,4756,2,4997,5003,5244
8,8,9,4796,2,4987,5013,5204
9,9,10,4723,2,5091,4909,5277
10,10,11,4744,2,4981,5019,5256
11,11,12,4715,2,5088,4912,5285
12,12,13,4668,2,4931,5069,5332
13,13,14,4545,2,4922,5078,5455
14,14,15,4563,2,4960,5040,5437
15,15,16,4565,2,5003,4997,5435
16,16,17,4475,2,4912,5088,5525
17,17,18,4495,2,5055,4945,5505
18,18,19,4461,2,4951,5049,5539
19,19,20,4382,2,5091,4909,5618
0,0,1,4941,3,5007,4993,5059
1,1,2,4966,3,4948,5052,5034
2,2,3,4888,3,5135,4865,5112
3,3,4,4777,3,5125,4875,5223
4,4,5,4951,3,4842,5158,5049
5,5,6,4839,3,4963,5037,5161
6,6,7,4762,3,5050,4950,5238
7,7,8,4728,3,4989,5011,5272
8,8,9,4814,3,4994,5006,5186
9,9,10,4785,3,5109,4891,5215
10,10,11,4684,3,5047,4953,5316
11,11,12,4666,3,5080,4920,5334
12,12,13,4642,3,4985,5015,5358
13,13,14,4628,3,4914,5086,5372
14,14,15,4494,3,5015,4985,5506
15,15,16,4499,3,5030,4970,5501
16,16,17,4567,3,5021,4979,5433
17,17,18,4508,3,5051,4949,5492
18,18,19,4375,3,5083,4917,5625
19,19,20,4482,3,4995,5005,5518
