,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4924,2,5038,4962,5076
1,2,4963,2,4933,5067,5037
2,3,4930,2,4897,5103,5070
3,4,4978,2,5065,4935,5022
4,5,4847,2,5003,4997,5153
5,6,4805,2,4966,5034,5195
6,7,4791,2,4940,5060,5209
7,8,4756,2,4997,5003,5244
8,9,4796,2,4987,5013,5204
9,10,4723,2,5091,4909,5277
10,11,4744,2,4981,5019,5256
11,12,4715,2,5088,4912,5285
12,13,4668,2,4931,5069,5332
13,14,4545,2,4922,5078,5455
14,15,4563,2,4960,5040,5437
15,16,4565,2,5003,4997,5435
16,17,4475,2,4912,5088,5525
17,18,4495,2,5055,4945,5505
18,19,4461,2,4951,5049,5539
19,20,4382,2,5091,4909,5618
